dataset,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
298,0.7969019607843136,0.1108011748018812,0.7732156862745098,0.0991752998481051,0.8185098039215685,0.1247792771235968,0.7245098039215685,0.2163078585404784,0.5564705882352942,0.1707437750325779,0.5869411764705882,0.0060103716585622,0.6803529411764706,0.1643715301217421
299,0.7692307692307692,0.2432521277052599,0.7538461538461538,0.1946017021642079,0.8692307692307691,0.1987799737775826,0.6846153846153846,0.2065654775499777,0.7615384615384615,0.1793039357645855,0.4615384615384615,0.0,0.5076923076923077,0.0537850691369308
300,,,,,,,,,,,0.6395402298850574,0.0143071516233006,,
301,0.5142857142857143,0.1204677203873668,0.5285714285714286,0.1656431155326294,0.7285714285714284,0.1054092553389459,0.7571428571428571,0.0964212225300789,0.6428571428571428,0.1214052265141139,0.7142857142857143,0.1346870059402947,0.7142857142857143,0.1505846504842085
302,0.575,0.1440700275543326,0.5666666666666667,0.2317405957179356,0.5916666666666666,0.177647521725772,0.5416666666666666,0.1583576979304358,0.5666666666666667,0.2317405957179356,0.6083333333333334,0.118178041034348,0.5416666666666666,0.1583576979304358
303,0.5428571428571429,0.1312766547818116,0.5142857142857142,0.1676839701110381,0.7714285714285714,0.1204677203873668,0.7714285714285715,0.1204677203873668,0.5999999999999999,0.0602338601936834,0.5,0.1214052265141139,0.7142857142857143,0.1505846504842085
304,0.53,0.3675746333890726,0.5900000000000001,0.3494440028260767,0.74,0.1744833643773653,0.805,0.2576065044037341,0.5,0.1732050807568877,0.64,0.1760681686165901,0.5700000000000001,0.1567021236472421
305,,,,,,,,,,,0.9228530728530728,0.0007819987945708,,
306,0.8204761904761906,0.0647513997082096,0.7833333333333333,0.0609511408604008,0.8576984126984127,0.0611724079308922,0.8803174603174604,0.0568688314981832,0.8461904761904762,0.0468751417231417,0.7293650793650793,0.0661830531409186,0.7377777777777778,0.0674631185226133
307,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9,0.1143958904554111
308,,,,,,,,,,,0.786,0.0481202198203162,,
309,,,,,,,,,,,0.6496267445634535,0.0056538970595927,,
311,0.9757798180052102,0.0080027733938181,0.9757798180052102,0.0080027733938181,0.9776316698570622,0.0071417705690425,0.6438232317690236,0.0087075084105855,0.822768856863008,0.0170348321585332,0.6304316991192882,0.0007086456689524,0.6512294199170091,0.0439425682490611
312,0.8943220193769946,0.0004035566446368,0.7500374831325904,0.1253998146747788,0.8844377173129235,0.0052628826723248,0.3974638198524949,0.0136501088604628,0.8295265344880519,0.0103743310140952,0.8943220193769946,0.0004035566446368,0.8943220193769946,0.0004035566446368
313,0.9357757496740546,0.0004628810533363,0.9000405194672393,0.0163297783645014,0.9286521205613928,0.0050137068669795,0.3679354244957435,0.0131124859317695,0.8914507758774958,0.0061441141308004,0.9357757496740546,0.0004628810533363,0.9357757496740546,0.0004628810533363
314,0.8475136252129885,0.0624177007061004,0.8356609990614414,0.0323526687809498,0.9389667999983888,0.0361864988503183,0.953821605378384,0.0242628101852877,0.8703918985873281,0.0591189409749572,0.8475136252129885,0.0624177007061004,0.8379681212311633,0.0004996348415236
315,0.9766666666666666,0.0210818510677891,0.965,0.0493475955360054,0.9983333333333334,0.0052704627669473,0.1666666666666666,2.925694557147251e-17,1.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0
316,0.6142857142857143,0.1602064286264525,0.5107142857142858,0.2328590904583076,0.5928571428571427,0.0874007373475126,0.5660714285714286,0.1952616855666777,0.6178571428571428,0.2070881153720432,0.5517857142857143,0.1513942196735625,0.5517857142857143,0.1513942196735625
317,0.6945797968968701,0.0186010599957763,0.5919177164299114,0.0226754075277801,0.7324180291253463,0.0182076314494139,0.7360816283987016,0.017510467913683,0.8077398076178565,0.0121614620667089,0.6945797968968701,0.0186010599957763,0.5421103963786891,0.0249881767312787
318,0.4896346003134796,0.1272262257251693,0.5222159090909091,0.0010062855633715,0.8901293103448277,0.0748420489267111,0.6130505485893416,0.099439027651531,0.760039184952978,0.0777666727141125,0.5222159090909091,0.0010062855633715,0.5138068181818183,0.0480197285872988
319,,,,,,,,,,,0.6466666666666665,0.0322030594359765,,
320,0.95935,0.0002415229457698,0.95295,0.0188317845970877,0.9677,0.0021239376429432,0.9731,0.0021576736443576,0.9987,0.000752772652709,0.95935,0.0002415229457698,0.95935,0.0002415229457698
321,0.6150420168067227,0.076520796970667,0.5505042016806722,0.1066395420752945,0.6899159663865546,0.0648203723552164,0.5476470588235294,0.0820790907832116,0.6342857142857143,0.0728698442550767,0.553361344537815,0.081185391541021,0.5945378151260503,0.050156875572745
322,0.8368421052631578,0.2239162882756068,0.4763157894736841,0.0083217833162325,0.8368421052631578,0.2126356319456236,0.8105263157894737,0.2249448480677137,0.5508771929824561,0.1300298676929805,0.5973684210526315,0.0785075467904015,0.5078947368421052,0.0496990016639133
323,0.875,0.1631575017287601,0.875,0.1631575017287601,0.7083333333333333,0.2919971672448422,0.875,0.1631575017287601,0.6333333333333333,0.2330686329267003,0.7166666666666667,0.1054092553389459,0.7166666666666667,0.1054092553389459
324,0.7486111111111111,0.1123484347104711,0.6430555555555555,0.1226720817600608,0.7583333333333333,0.135641037609111,0.711111111111111,0.1707071952263806,0.611111111111111,0.1405761708397127,0.5305555555555556,0.1680498162472685,0.5305555555555556,0.1680498162472685
325,0.7966666666666666,0.0791122958458004,0.4857142857142857,0.1129552182517917,0.8709523809523809,0.0606693993221405,0.6761904761904762,0.1316790803298802,0.8428571428571429,0.1046415855482508,0.5680952380952381,0.0600684081346651,0.5609523809523809,0.0440915696646772
326,0.8373809523809523,0.1032359402535779,0.8088095238095239,0.1000381005774568,0.9142857142857144,0.0771108431840706,0.9428571428571428,0.0737711113563317,0.8571428571428571,0.1028688999747279,0.8802380952380953,0.1036864592616372,0.8666666666666668,0.1631140644909857
327,0.4928571428571429,0.0817498843290037,0.5095238095238095,0.1855174645547553,0.6904761904761905,0.1374643498070537,0.6595238095238096,0.2153266896377343,0.4904761904761905,0.2014685314410112,0.6428571428571429,0.191136421885592,0.6428571428571429,0.191136421885592
328,,,,,,,,,,,0.8977503628447024,0.0094568835707989,,
329,0.977,0.0131656117720876,0.8465,0.0838997417556613,0.989,0.0162958754154404,0.95,0.1152774431052705,0.9714999999999998,0.0590691684947965,0.8625,0.1185854122563142,0.9425,0.0387477597918755
330,0.978,0.0133749350984925,0.9655,0.0149907378811792,0.9985,0.0024152294576982,0.993,0.0088819417296494,1.0,0.0,0.9,0.0,0.8965000000000002,0.0110679718105893
331,0.899,0.1007968253468332,0.8204999999999998,0.1210245613272134,0.9805,0.0230277610239853,0.9825000000000002,0.0228825503629099,0.989,0.0246981780704569,0.9,0.0,0.9,0.0
332,0.9535,0.0804173143324523,0.937,0.091232304220234,0.9645,0.1070163538904218,0.9985,0.0024152294576982,0.9515,0.0806931774618455,0.9,0.0,0.858,0.1328156617270719
334,0.976,0.0164654520469712,0.9675,0.0185965946703511,0.9835,0.0316271683490282,0.9225,0.1668707084342046,0.99,0.01,0.9,0.0,0.9,0.0
335,0.68,0.0389956556173222,0.3845454545454545,0.1658132419962409,0.6518181818181817,0.0926153017759412,0.3399999999999999,0.0680571250357808,0.6336363636363637,0.1919906831225852,0.68,0.0389956556173222,0.68,0.0389956556173222
336,0.4410064935064935,0.0665807075697654,0.4874350649350649,0.0321423287667738,0.4337987012987012,0.0632854035791719,0.435551948051948,0.052644646357703,0.4588636363636363,0.0309539134727924,0.4981493506493506,0.0268647114427278,0.4821753246753246,0.038609358551949
337,0.4659562841530055,0.0400109639553739,0.5058743169398907,0.0282922144996808,0.4709562841530055,0.04521012675125,0.4709289617486339,0.0348839094292753,0.6786338797814208,0.1179980525248908,0.4958743169398907,0.0088959499709762,0.51724043715847,0.0912219619695071
338,0.4658441558441558,0.0248888573483109,0.5071753246753247,0.024499281835231,0.4891233766233767,0.0311343341143321,0.494448051948052,0.0395294189321563,0.4819480519480519,0.0357123835253634,0.4803246753246754,0.0410822852945998,0.4748051948051948,0.0253672820261671
339,0.9508620689655172,0.1036117801105264,0.9508620689655172,0.1036117801105264,0.9516009852216748,0.129213284917442,0.7860837438423646,0.1959414692301116,0.7599753694581282,0.1014571222775414,0.5701970443349753,0.1304631027133475,0.5917487684729064,0.1317871458743186
340,0.8868209938257017,0.1584729904436698,0.88030192863505,0.1730309050127703,0.9937193633020074,0.0181503962113562,0.9147033428462364,0.0903945359082384,0.968634534867516,0.0987543535938328,0.7696320263695247,0.1700038414695617,0.535822896406304,0.0976600769097241
341,0.8084283817186482,0.0064322072006047,0.7456094806958203,0.0062050934866665,0.9524870964069242,0.0030423156475623,0.7954033349195793,0.0030013703394428,0.7903258916976755,0.0067597353892812,0.6507800707335701,0.0063680456585786,0.5965708444147897,9.07105009191922e-05
342,0.4642857142857142,0.1398492871960801,0.65,0.2270035511724386,0.5999999999999999,0.1723520101986081,0.5285714285714287,0.1586507737995969,0.5714285714285714,0.1467717619754518,0.6285714285714286,0.2070196678027062,0.5357142857142858,0.2082482819587607
343,0.5700000000000001,0.0501109879279096,0.532,0.0674619234169254,0.578,0.0584617633823833,0.564,0.050596442562694,0.5599999999999999,0.1062491830033948,0.532,0.0367574633389072,0.496,0.0374759181934805
344,1.0,0.0,1.0,0.0,0.6666666666666667,1.1702778228589004e-16,1.0,0.0,1.0,0.0,0.6666666666666667,1.1702778228589004e-16,0.6666666666666667,1.1702778228589004e-16
