dataset,cohesiveness.mean,cohesiveness.sd,conceptvar.mean,conceptvar.sd,impconceptvar.mean,impconceptvar.sd,wg_dist.mean,wg_dist.sd
152,27.80555555555556,1.8009300327290902,0.2322576535099466,0.2442535220322786,7.4375,6.900799861783732,0.3113008778442796,0.0874931030059727
153,54.395933014354064,2.848502721625299,0.3706255621618603,0.2173380661896142,20.30861244019139,11.708222989225195,1.41375987847435,0.1064223413213184
154,3914.5213928222656,307.77083963013774,0.4048109188983277,0.1911433160963224,1584.5830078125,719.3039659097832,0.5640847720342983,0.1681882672492168
155,4038.9067993164062,148.1561384301673,0.4072956019134945,0.1882755642959733,1683.2181701660156,732.4806600231256,0.4540433765886675,0.1317544969485339
156,inf,,,,,,,
158,21.016666666666666,1.5512888754649288,0.4895126922631547,0.0831381163947067,10.5125,1.509626595429187,0.7518371832347348,0.1357134103824941
159,375.5252189141856,42.545306372070414,0.4926039797285513,0.0273285449456907,186.21860770577933,22.3984028644734,2.149120326020229,0.1736457378633034
160,inf,,,,,,,
161,436.4497175141243,15.395273207621424,0.4788283642998453,0.065431228229609,215.364406779661,22.84324295405257,0.3326702349849681,0.0765059581109083
162,279.3423202614379,34.244124154732894,0.4233180475058924,0.1704601561818469,127.92892156862744,38.50008838147942,0.4157657004608602,0.1581936203096996
163,22.03676470588235,2.570830454812695,0.4776221473766745,0.044102468828519,10.669117647058824,1.6307682790581992,1.0563356411074352,0.1378514727229558
164,357.1943887775551,19.662416444538795,0.0902688517759681,0.1951292790256319,36.06738476953908,67.86123620493538,0.5280426202991967,0.1278174223300991
165,1316.5605414746544,109.09993573829628,0.3902983188281624,0.195049420567539,558.8967741935484,230.5774990829213,0.5625109931039861,0.1352715762231446
166,402.15020229265,20.246419872945456,0.1791365783878087,0.2387609066419146,75.40745111260958,92.2263974498758,1.120156151404951,0.0728414937417796
173,374.9753164556962,25.60532112273413,0.4362220422114775,0.1675096221190764,166.4107594936709,57.51328808318824,0.4154922375768933,0.1960053320261782
174,19.88,1.912792594664691,0.2221113234401769,0.1484487079393439,7.09,2.531817932003865,0.5857626897170518,0.1082887995219637
175,688.0879978049545,126.04994109779597,0.2463485240093453,0.2260238875900938,192.03641423643776,106.6265200681565,1.323849009622578,0.2760409322216768
176,136.42908653846155,10.354379848892142,0.4345675995569648,0.0874145627991616,64.5078125,9.204934128593589,0.8505299352655086,0.0824138499477809
177,inf,,,,,,,
